,0
domain_length,0.31926620287565716
URL_Length,0.2538503565358739
URL_Depth,0.10045963611118955
domain_dot_count,0.062240909359762675
subdomain_count,0.05230983044928954
Prefix_Suffix,0.027595567864095328
tld_length,0.027200424435712394
domain_hyphen_count,0.024278631802512517
Web_Traffic,0.017954619728277343
domain_digit_count,0.01635594575249484
Domain_Age,0.015255814742352889
iFrame,0.013727231125729536
Web_Forwards,0.011677263504485395
Have_At,0.011637409226237875
is_common_tld,0.011556500859062534
Domain_End,0.011456265705742215
TinyURL,0.0076867244237456
Redirection,0.005996250049480291
DNS_Record,0.0050103806683434995
Mouse_Over,0.0037991362016976354
Have_IP,0.0005427285949839367
Right_Click,0.0001421699832733567
https_Domain,0.0
has_www,0.0
